Date of Final Decision,Submission Number ,Device,Company,Panel (lead),Primary Product Code
9/27/2024,K240369,CAC (gated) Algorithm,BunkerHill Health,Radiology,JAK
9/27/2024,K241480,JBS-LVO,"JLK, Inc.",Radiology,QAS
9/27/2024,K240993,encevis (2.1),AIT Austrian Institute of Technology GmbH,Neurology,OMB
9/24/2024,K242292,uAI Easy Triage ICH,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QAS
9/23/2024,K240013,EchoGo Heart Failure (2.0),Ultromics Limited,Cardiovascular,QUO
9/20/2024,K240036,PIUR tUS Infinity,PIUR Imaging GmbH,Radiology,QIH
9/13/2024,K240929,Sleep Apnea Notification Feature (SANF),Apple Inc.,Anesthesiology,QZW
9/12/2024,K241582,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Canon Medical Systems Corporation,Radiology,IYN
9/12/2024,K241280,Constellation (CON-001),"Q Bio, Inc.",Radiology,QIH
9/12/2024,K240942,CINA-CSpine,Avicenna.AI,Radiology,QAS
9/11/2024,K241380,FETOLY-HEART,Diagnoly,Radiology,IYN
9/10/2024,K240094,LumiNE US; Lumi,Augmedit B.V.,Radiology,QIH
9/9/2024,K240697,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",See-Mode Technologies Pte. Ltd.,Radiology,QDQ
9/9/2024,K241681,Overjet Image Enhancement Assist,Overjet Inc,Radiology,QIH
9/9/2024,K240791,ADAS 3D,Adas3D Medical S.L,Radiology,QIH
9/6/2024,K240411,uAI Portal,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QIH
9/5/2024,K233998,TRAQinform IQ,"AIQ Global, Inc.",Radiology,LLZ
9/4/2024,K233977,Velacur,Sonic Incytes,Radiology,IYO
8/30/2024,K242275,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
8/30/2024,K242300,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
8/30/2024,K241847,Imbio PHA (4.0.0),"Imbio, Inc",Radiology,QIH
8/30/2024,K241585,uMI Panorama,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
8/30/2024,K240003,Velmeni for Dentists (V4D),Velmeni Inc.,Radiology,MYN
8/29/2024,K233826,Kosmos,"EchoNous, Inc.",Radiology,IYN
8/27/2024,K241684,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH
8/22/2024,K241098,NeuroQuant,"CorTechs Labs, Inc.",Radiology,QIH
8/21/2024,K240290,AiMIFY (1.x),"Subtle Medical, Inc.",Radiology,LLZ
8/20/2024,K240200,HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece,Procept BioRobotics,General and Plastic Surgery,PZP
8/20/2024,K241496,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
8/19/2024,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK
8/16/2024,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK
8/16/2024,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH
8/15/2024,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH
8/15/2024,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
8/12/2024,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH
8/8/2024,K233822,i2Contour,MRIMath LLC,Radiology,QIH
8/5/2024,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH
8/5/2024,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE
8/2/2024,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS
8/1/2024,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ
8/1/2024,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK
8/1/2024,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
7/25/2024,K241887,GI Genius™ Module 100 (GGM100.US); GI Genius™ Module 200 (GGM200.US); ColonPRO™ 4.0 (CPRO40.US); GI Genius™ Module 300 (GGM300-US); ColonPRO™ 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
