Date of Final Decision,Submission Number ,Device,Company,Panel (lead),Primary Product Code,product_code,medical_specialty_description,device_class,device_name,definition
2024-09-27,K240369,CAC (gated) Algorithm,BunkerHill Health,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2024-09-27,K241480,JBS-LVO,"JLK, Inc.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-09-27,K240993,encevis (2.1),AIT Austrian Institute of Technology GmbH,Neurology,OMB,OMB,Neurology,2,Automatic Event Detection Software For Full-Montage Electroencephalograph,"Automatically mark or identify electroencephalograph waveforms for spikes, electrographic seizures, seizure-like events in order to aid in identification of such events and help review and annotation of prolonged EEG traces; All output subject to verification by qualified user"
2024-09-24,K242292,uAI Easy Triage ICH,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-09-23,K240013,EchoGo Heart Failure (2.0),Ultromics Limited,Cardiovascular,QUO,QUO,Cardiovascular,2,Adjunctive Heart Failure Status Indicator,The adjunctive heart failure status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting heart failure. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.
2024-09-20,K240036,PIUR tUS Infinity,PIUR Imaging GmbH,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-09-13,K240929,Sleep Apnea Notification Feature (SANF),Apple Inc.,Anesthesiology,QZW,QZW,Anesthesiology,2,Over-The-Counter Device To Assess Risk Of Sleep Apnea,"An over-the-counter device to assess risk of sleep apnea is intended to provide a notification of the risk of sleep apnea in users who have not been  previously diagnosed with sleep apnea. This device uses software algorithms to analyze input sensor signals and provide a risk assessment for sleep apnea. It is not intended to provide a standalone diagnosis, replace traditional methods of diagnosis (e.g., polysomnography), assist clinicians in diagnosing sleep disorders, or be used as an apnea monitor."
2024-09-12,K241582,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Canon Medical Systems Corporation,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-09-12,K241280,Constellation (CON-001),"Q Bio, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-09-12,K240942,CINA-CSpine,Avicenna.AI,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-09-11,K241380,FETOLY-HEART,Diagnoly,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-09-10,K240094,LumiNE US; Lumi,Augmedit B.V.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
