proprietary_name,openfda.device_name,product_code,created_date,cleaned_proprietary_name
"['DRP', 'DeepRhythm Platform']","Computer, Diagnostic, Programmable",DQK,2024-07-02,'drp' 'deeprhythm platform'
"['DRP', 'DeepRhythm Platform']",Electrocardiograph,DPS,2024-07-02,'drp' 'deeprhythm platform'
"['Monarch Platform, Urology']","Needle, Catheter",GCB,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Kit, Nephroscope",FGA,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Catheter, Nephrostomy",LJE,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Ureteroscope And Accessories, Flexible/Rigid",FGB,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","System, Irrigation, Urological",LJH,2022-05-25,'monarch platform urology'
"['Bronchoscope (flexible or rigid) - Monarch Platform (MON-000008)', 'Monarch Navigation Patient Patches (MBR-000016)', 'Bronchoscope Fluidics Tubing (MBR-000218)', 'Monarch Controller (MON-000712)', 'Monarch Navigation Field Generator Mount (210-000343-00)', 'System, x-ray, tomography, computed - Monarch Platform (MON-000008)', 'Monarch Tower (MON-000008) 210-007591-00', 'Bronchoscope Patient Introducer Mount (210-000346-00)', 'Bronchoscope Patient Introducer Kit (MBR-000017)', 'Monarch Navigation Patient Sensors (MON-000705)', 'Monarch Bronchoscope (MBR-000211-A)', 'Bronchoscope Sheath Valve (MBR-000020)', 'Monarch Cart (MON-000008 - 210-007592)', 'Bronchoscope (flexible or rigid) - Biopsy Forceps - Smooth Cup (MBR-000014);', 'Cytology Brush (MBR-000015)', 'MON-000710 Monarch Pre-Op Planning System Kit', 'Monarch Advanced Imaging Accessory Kit (MON-000709);']","System, X-Ray, Tomography, Computed",JAK,2025-02-25,'bronchoscope (flexible or rigid) - monarch platform (mon-000008)' 'monarch navigation patient patches (mbr-000016)' 'bronchoscope fluidics tubing (mbr-000218)' 'monarch controller (mon-000712)' 'monarch navigation field generator mount (210-000343-00)' 'system x-ray tomography computed - monarch platform (mon-000008)' 'monarch tower (mon-000008) 210-007591-00' 'bronchoscope patient introducer mount (210-000346-00)' 'bronchoscope patient introducer kit (mbr-000017)' 'monarch navigation patient sensors (mon-000705)' 'monarch bronchoscope (mbr-000211-a)' 'bronchoscope sheath valve (mbr-000020)' 'monarch cart (mon-000008 - 210-007592)' 'bronchoscope (flexible or rigid) - biopsy forceps - smooth cup (mbr-000014);' 'cytology brush (mbr-000015)' 'mon-000710 monarch pre-op planning system kit' 'monarch advanced imaging accessory kit (mon-000709);'
"['Bronchoscope (flexible or rigid) - Monarch Platform (MON-000008)', 'Monarch Navigation Patient Patches (MBR-000016)', 'Bronchoscope Fluidics Tubing (MBR-000218)', 'Monarch Controller (MON-000712)', 'Monarch Navigation Field Generator Mount (210-000343-00)', 'System, x-ray, tomography, computed - Monarch Platform (MON-000008)', 'Monarch Tower (MON-000008) 210-007591-00', 'Bronchoscope Patient Introducer Mount (210-000346-00)', 'Bronchoscope Patient Introducer Kit (MBR-000017)', 'Monarch Navigation Patient Sensors (MON-000705)', 'Monarch Bronchoscope (MBR-000211-A)', 'Bronchoscope Sheath Valve (MBR-000020)', 'Monarch Cart (MON-000008 - 210-007592)', 'Bronchoscope (flexible or rigid) - Biopsy Forceps - Smooth Cup (MBR-000014);', 'Cytology Brush (MBR-000015)', 'MON-000710 Monarch Pre-Op Planning System Kit', 'Monarch Advanced Imaging Accessory Kit (MON-000709);']",Reprocessed Bronchoscope,QNW,2025-02-25,'bronchoscope (flexible or rigid) - monarch platform (mon-000008)' 'monarch navigation patient patches (mbr-000016)' 'bronchoscope fluidics tubing (mbr-000218)' 'monarch controller (mon-000712)' 'monarch navigation field generator mount (210-000343-00)' 'system x-ray tomography computed - monarch platform (mon-000008)' 'monarch tower (mon-000008) 210-007591-00' 'bronchoscope patient introducer mount (210-000346-00)' 'bronchoscope patient introducer kit (mbr-000017)' 'monarch navigation patient sensors (mon-000705)' 'monarch bronchoscope (mbr-000211-a)' 'bronchoscope sheath valve (mbr-000020)' 'monarch cart (mon-000008 - 210-007592)' 'bronchoscope (flexible or rigid) - biopsy forceps - smooth cup (mbr-000014);' 'cytology brush (mbr-000015)' 'mon-000710 monarch pre-op planning system kit' 'monarch advanced imaging accessory kit (mon-000709);'
"['Bronchoscope (flexible or rigid) - Monarch Platform (MON-000008)', 'Monarch Navigation Patient Patches (MBR-000016)', 'Bronchoscope Fluidics Tubing (MBR-000218)', 'Monarch Controller (MON-000712)', 'Monarch Navigation Field Generator Mount (210-000343-00)', 'System, x-ray, tomography, computed - Monarch Platform (MON-000008)', 'Monarch Tower (MON-000008) 210-007591-00', 'Bronchoscope Patient Introducer Mount (210-000346-00)', 'Bronchoscope Patient Introducer Kit (MBR-000017)', 'Monarch Navigation Patient Sensors (MON-000705)', 'Monarch Bronchoscope (MBR-000211-A)', 'Bronchoscope Sheath Valve (MBR-000020)', 'Monarch Cart (MON-000008 - 210-007592)', 'Bronchoscope (flexible or rigid) - Biopsy Forceps - Smooth Cup (MBR-000014);', 'Cytology Brush (MBR-000015)', 'MON-000710 Monarch Pre-Op Planning System Kit', 'Monarch Advanced Imaging Accessory Kit (MON-000709);']",Bronchoscope (Flexible Or Rigid),EOQ,2025-02-25,'bronchoscope (flexible or rigid) - monarch platform (mon-000008)' 'monarch navigation patient patches (mbr-000016)' 'bronchoscope fluidics tubing (mbr-000218)' 'monarch controller (mon-000712)' 'monarch navigation field generator mount (210-000343-00)' 'system x-ray tomography computed - monarch platform (mon-000008)' 'monarch tower (mon-000008) 210-007591-00' 'bronchoscope patient introducer mount (210-000346-00)' 'bronchoscope patient introducer kit (mbr-000017)' 'monarch navigation patient sensors (mon-000705)' 'monarch bronchoscope (mbr-000211-a)' 'bronchoscope sheath valve (mbr-000020)' 'monarch cart (mon-000008 - 210-007592)' 'bronchoscope (flexible or rigid) - biopsy forceps - smooth cup (mbr-000014);' 'cytology brush (mbr-000015)' 'mon-000710 monarch pre-op planning system kit' 'monarch advanced imaging accessory kit (mon-000709);'
